HashFunction,HashOwner,HashApp,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
1bdqls9hzcce15msczed8fzadr14p9i69s5u5b16c91emh6y556e4swtqb40n6ht,9v9n4ejngflh645bc90g3kqauzpbgrnb5hytz5g9tpm4vw5cztl7dtl1uzsmcz3z,ewyywu06yxpgxi08sbpshky383ydhfts54t80ii5z5a4m4514vg0q2ixz5auw3rr,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
qhprlzo8i6pxzpctccx3u9fcbbiajtjluc4qje3juk51aaeb1vrgi0kzp0el2efc,jntxy4yntag12938xjjmeyr6f13kpf10aiso9dvow50uj5agewhqko8ltikelw65,cchopcfnmpqjhmj5o34w27pa0wiqb1o1hlwtz31tnzicm2uaqrz0pa8icy29vqgp,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
nz97ize82xv37r8etwdm4wihe8vq0cl219imdup94hmrfbwtytn19eutargzyr5j,niks9rppufbbl688amc16xkhtuxbxuug3uuy3i5kbzxwnhgcaabqmp4ty2hsbdez,djeyytgrbu4sjpktasme6u6ik1diaa8cxcktvladxl7x175adjw74nf5sop1gv3a,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
zsg0qjcitspmmjipdo471liz68eejmhtvbvkodqm7oeusq9wczilgcj8tpgfl82w,t8ro6u81s4nforkr7f8gfsfq2fkd9w351kcjspjsx218iv0s3v8zws9p906h8wbn,1y04w5molvrvgxt11gfl00ul2fut524pyz9uigrctzbxzis4rvojmz2pja505j9v,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
yq1z0rz45icp2gs84g7agaz7f3rq1b5xrxzchmo1e56egc8p994mx9h3s18odkoq,l81vj48xv4m5h6leqaezrog8hnnm66fk1jri1uhc751uadn1v5dp6tpvgkmi16t7,mmspj2b7i5wbabdag7ptdbom7syajtrlmgd0wx7qkrumvsud78pzt49jzf09q8od,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
iymdadrqoiwlzye5y38r5uvsk5ozsigvfsvji1d5jke52ojhdj0ugxwayprjvu9e,f54i9pusxdt5qc04ajamy3v4spnss7zxywgs744xc0j287cpj7vbus7iuph5rogk,rdw7i3eutzql4448owmze322dki81o6kyksz2nbiji2v4fj1hgtbts0bmdd1dyoa,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
y4q57l1iea9kkizdb0muxk8iu4qj08cwxku40sj1r69ynd3iq4dx8ez0xjva5w7w,jqjdtoorclrhk7tbz8c6hl7jkyg4c5c8mq0tdwqohvronmsv3ic0po5col59f21x,iuqkutn49oninqi1poc31ybrvvaem8bfdc973uppg91ehhi607n21yzhleoor7yy,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
tqw59stpd04msab8tl28mp8medth4iiajol4l7qlpv4dkvy71blgtd425mhcw28c,4q4u0iihp2ec2pvsiq2zvm42d61lw8nb7ft6clpcqo0kiwts8rvo5ingapscxmmt,im5mseaqktrh94s3h7hk9shewr9kf9nk1vegw6qlx8cjhs00747mbpebnx5ayiiu,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
mr1pyyrtsr4cmblawssg4bwm45pihx9ccrpo2626k9j3ptw90txr4oj3p7ygb1la,en0106yd8eoipc6m1935wo8wk6no3dkyz9u94buugquvqhsozhj5v2t5hj7vg6iq,cow0rv1750yfuckv5gwstxfa6ytyraw47wb7z7igrwktyotf7bdysn5y4gb0g8to,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
h2zqovl6valgyrpbu47kfk8qd7ruusohsj2yw1cc7q0kbhsw4z8cd8lhzeo2ym9d,c0mp4l1edm6vlcw8s7ubdkkmbd2i04nn51o1l5gghlu5ncxbxkgj97bp38r9x10l,xfvjy4cqccss1ch0wkha0s0r72ao1a1vyg4bgdjrok9qbper1f1mya3jc1bkc6j8,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
0zsci10jj5jnsmqqj2w42pwfqrzonw6or2milsvij1pejk6249bodu6parztiowj,27b5hsjlz0krkxi4lt7qpdhbg7834ln4cfbyv3qcuep5yspegs7950b7qtb14477,i5495guaubb0ywi90uroj50qja07d0xmq6fb9y102v4qpnsw6askutfjii3sbblm,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
7tvazovvk2u4ubs86jiw5u9e8kcq8bjcgtz10e3942vr17yxyvwe5iv61m0p4qru,ohdnq0u5pe5dxc53sz9xtyp1a86wwfpxmbfa99tv142rc20vzxpgrf5av4wdloyh,g1x1ikxumss3s1j50pgue7fdax6kltw9qmsmqyfg5zqb15mis2cgvmeee3sbuflt,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
wakfxuk0i850xk1bjel25wrtdv3wsiubf972onqmrpbhnd5xonta0h1k6t19apue,z9k4ye5a91r5ujjb6iwqf6mi9yaysyjv1ucgjhfur8vf0yftcfo1y4r3bl5o2e8x,jjjlvdg6mofudls572cj1gxujwrzauuoxfzdjm0mxrhosgfeh1qfb9tjnhv7zume,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
r7ua1i70y3l41h9mnl1g052h7y2rzdcglbkoupsub2xmtlhfix7ehngyw7ue1cru,y1j25qair39j1f1ru3pvz7yampfvyd6zr48bwuu7ncncz0b8it69npnacccvkrfb,poofklbxpi0dbgpe1m4ux06zsrrus6iyy8n5g0a92hp9h86bdpzr3gz9ka6hykhg,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
hjg90dmc0vtj34cl763iura5e4jwl0zacnpwbfjyawbhhefiki7q1u35gc3s5wk8,h324f9zbt3t5swl3a97tmd4hur8qh122pm1xc43dsnfxnd49qoe5v76mh5njqznu,8o9mpquduunh7kxyuza64wvqzsy0psnl04wkvej5qo0shxatdm14c0hs8fvoa8kt,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
gv74y8biz0ecc48p245v7xnptjsfgk19lmpjbkna09l5w46jotttx6fzkwez724p,znwmt6ac41e6uu1ocj7li00tmtjmrswgty7zwyiqyvfhj5bmkchbytjiva6b8b17,dnbzor3f71bz0johrwsrk5jh4aw15lbslceghoq7h34ihenx2dn6ytt72j3q1hod,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
