HashFunction,HashOwner,HashApp,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
1eaq2hip2o76govd600o3hn4w0ecq5n8ow9ipca350cudl35srz2f0fz3qzf14du,6k8zv1axko9ynoi1djb6gl9dec89dbuov5nwuwg4y1cyooxo5djt17weg14pz6v9,2y8uw5hubzd4wt814wjj0fwl68n92olh450oc28bxlqi3y8t1tx5j9b4osnucxhb,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
ii8vt7ovail45pgjgv1tyoynsuwxiciux5lvwax114u0ifdloy2ghkjgx9amfi13,a6oc4f59v0unx9d7acfse456bnacvyw1dzmkuz95rp9m09i7h2t40n8bsaujsmhx,0y4igisw23xq5wa1qscjhcykry5snocen1u269khuzhj2o6gfuuw11kc5cpxf4bx,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
4lu2zc64pyebpmyodkk94993bpo3xvp9625959hmzaq81u3onk2zetwr09nsms10,hjlqaq3p6c9jv6jqujc8u91mq8hxy64fssjj292ax15lvhmn3y2wuzo02okabej0,34xfy795y4ifuic6xkfr1c7ic09lb4hwjunmeej65nrc1g2llbyc6l8lfaz09zux,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
vfmy6cfgknfvvf80sorb4mjolya40p68ebkzjaejqcb4dq4znq3qhwra6dxvxvc2,m2yhcclnlupjta3nytpzt3lcwbucbhhiqojrssnd7t19ipi60b5x5y6pi1j9v0xt,lvudfnf38snb1b57dfnu1wsxndqotoo4phm84yyvquoh3cfub0b7092qd6sj1i2w,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
nsd21c20881gixqc361q2rdazgomkqn5nzferl9iyfnt3felhv8sj9x5y317qe40,brv7urzsr5areyx5gd90qs3l4wozl8j1fwa794qd8vh1wet8kdpmhm14wp16xszz,aduo33tn93go7qcjennch8ymw07bfj90gmwe2dd22h1g8xprzohwukslpigs9a2p,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
upsmf9690wamjj636608htchn3ovldug9dmr8636l4lg6u7nm8gfeigvr5hhoeao,wgoc3syx43bazy5p7i4d49oxn001u6rmwmxu26fo2cxenywm6ye9wiqrhdy7ncth,owcgrbc2duo8di6jqubfegq6gd1av3dtgy0e0lid9ozm0x5dwbcdc7jcfgfrrrw7,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
vxfro274djnkxbyoo62zx3hwlpxb3wdlynszefh9m4954hiaoav38c4xk5tax16g,gn42nn76o5379pg9g9ob950fdcxqw3je62fhi4bor9ckfbht5epev6vanx3zht4c,ewfcwdtyv7dvxzcp9nm7uf5xlsofezfzoqsczx5c0mrriit9q2ujv7879kdgt7wi,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
swjdbt0mjivntzmahvcu0gkwtzw1e0snmxg9up33jp1ov0s63iz5mgsq34tyxar6,lj2ky2v48jsvmgddqo7dfmu7vjrrps78jfvea4szf1k6g0qlk9fivfbqhnzi55mm,8bih36b7hjsav4p7rqz6ax444w4pcksodvcrrdpebwwnowgfxxkb4bm49781k9n1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
4e6hm4q7kdd3evlpykfb8sjxhpftunm0bqgtckx3wy30g6vk6lok6zc8k1159dkz,tm89c1mcqkzqxk0vvh3bo4941qjhrjlvwu4ezg4hmnr86uy9ec8a9joxbs2r2n7h,rantvp008s8v2t0jnv7o3u1ne7sqll3wq8q9w2fwrls5ot7t0mpnico5y57x2qib,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
ykx6dyhxuz0zap93dcgehls014f55wc02i02y599tugf3y6hglhu3c0ufr62ytvg,lmod29zut8xcrjqkk49rzez5g0j5fmu3d1p0c9rno90kewj7jmmsq71e6kusm81f,9lmy2tb37hjv1879r6mpexghb51vjz1iuny0zdtwcwq4kfjwp4hcxdipqi7pstar,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
