HashFunction,HashOwner,HashApp,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
ndnv2osnsy7vuu7d1s858hae1ki7vsd98byoukljxu2aeqzjjb9zqdl3b38r9zxo,z1c086n4y8zwfgr8q02q52q1g84j34rpw882qq4kwqj8h1qr7hooww5lkik45q6b,gah12k6txvx7w128ei2pogxl0y4c9fgw5lub3u5it5qvw16onrc2w5jlcnqmars6,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
asp0c1pm7tlw179ocde46vo32vayy1wb6v3y0d8y78tym0exgpwd28qt9vzc1s2g,zyvfobuvkn34jt3iz9uxkf4je1wd9lzlsrg6hyw0cyq28cdltonvmegors6abfnj,m1hsuj371yq4q92lula61zhop7vw0q2570a6m2r6w0sxfwndspoeq2tfejdg9zm9,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
03o3r9rvpwhn8mqy244r832ojb7xxd7mjfkon09g6mchphjuq5jg8ngk96qcfs1a,ubo1smoztyyw69n83me5v4qsmyea5958ib50g3etmimumi5f4ll4j5oi97lrhi71,w4idwja6b826xifql96lc3swa0anec8huviyvulvxnp6demsscq74rvdo0lag1gs,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
u1legt8ylsqgv6ly18oj3h4n2jo86w1trkuvli261jahh1nuuud2k4a8ba2v7ojf,ov6fd16k8ly303kwgcwif9m4pmddrcht4iwa7grx3rn9c64g3lh1qrcxvtr8ooh0,ut4q6wsmwlq30j8ob0uuojxl57wpylm1040txnr6ovgcfv9ao24a4nrqlj8cyidg,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
ije8tvf0a0jca2lmj594fhrh0z20c4dw56esccujb0e0oc68qh0cighm5pdv4rrd,17bebkf7ozbf0wxttnnod7s6q2el21fy5lrshsr4o02b5v52r3v4hoq298e5qzxb,ivvl0w04hfzawjmzqoui1ti8dpooal823m2aorv5rrm1fvmhy2pyfr2iz65v3yew,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
598nn3ixwhlaycittczq35p3j9i2mkmysdvtd97a5iq2xpylhty37vfo8oiylvil,kovy8oicis8hpa51py71mavsmpjd3xs2zmf6be4be86oknz5unn5m3kamsx4mrha,mtfwmg2gkw9dyalwtw45w7phrd3bykcjmryenwh235xea2wh3rfz85z8rli21xfr,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
ama41clmqyqbz6hmauiy3nxs7a3l2mwpjqo30me6jfxtzt8sqs5eu5xbd88qyi80,p2l1a9sj97q28o9z0jg1kv5j31rcqt57lkhjaejosssbuqopqvobzgwgur99tr1q,6b11w3960pdin3ir5sdkk2yey721xntztfginqg99d6bwd9zextzvsloop2484oy,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
83r9ftjvgqafsk8rjkngu7r9rstbllv7laxikazixt7ra37fapijzqsdwq4laxxa,it2byqk0tyjec69eiy0av4wt2cvtw060zhu6s5nfxbjqnl6u89a0he9evutri422,wa5jfkds2xb19e1nw2j2mf7s4fny241kobujrv3d1n1w3dfphv18pbn36nnf6wlb,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
wnh74ymmoglkvuzlif7xpycbr1v2jsjt6vxhx0tjyeyi93o2sq5yzh4x1wjbn1gc,zo5bmqkyx4mf46hvkqkd993luhqhl7nfwf0uz5x3z7gnfwmr1ez10fjiiijqv16r,ewf3x6fei9w3kf1ly0q0zltb3tylz5nuay10xzihysa7qhs74f2rdrllyduafyqi,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
4rvzmeiryq2gt1rfbz9xakutxh2vi2aw8729rdj7dvawfzqz0wq9i5uozefgj592,zm7dddr6q7danlcde8s890k4wb99k895x5q4kznn10v7wgpkvt5zwsqkurfovdjn,lqmj179rxhbwr4kuhqy9zgwz8jqa5omzdrphvr9h4f9uxy5m680h1wk6d74w0my7,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000
