HashApp,HashOwner,HashFunction,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
r4zvxvw50ikahk12dewzg9hgloarf2avc85lzu8iihsmomgg84kru9mc3qtdhigd,tk1vy30e7yqznoqlp6sly3jgibn80v2vqo7qduvkhjt844poa8ouseq6yjquvpsc,nmha1nb3foquvrpnnid83eqszuf1wn1sbhowzdb1pfk4a6o0ppfr5im6fhp5tp4d,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
vzzz0nhgkw4hb4o2dz12friu93xrn9dscrd0xkm0fae9nzhnjxcp6aa13l0qhvu8,bssf6ubowz7g07dg74mt3u17n4oj95j6xzsqxzzpuzs06yidwot1oa5b8ihymfls,o18afrhfgqjrdh5cvo2ry44effr933v344kmbzlzs3rtheinxg687bva6qmipmr6,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
8i7xdc9ntkd7fjmlxvqq3iatdulf5cvfm6jh8r8xn38wnjwir0ezpe97v6vp34w2,6me9fkg0swiqua2v8sp5h6w0ceuca06f7q4c0h8povqqcfeylqu3g9d1xqort2yd,tt2vycd3c0w8waskc8ym99f0051vd8csb66k4facmqv26f5j2fg9vnn1jfz4konz,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
mscby3l0i4dy5j1jn58vkwi6c2gr0h5aqjz9ti4yy5p9beglrbsoda3droph9x8g,3li73kc2o2qs0c3glhq4jelqcnnrohczadgretul73n3hefi0xvm39w01jstii96,hk9t04tgjyuudmrubww0pofykso2b1w43lt48jc5x0qdi2kiwvglcnfvb93my2fw,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
943xabhjuabd0kjpmpvl7ks1c4pm1h6s689x06q6sts2q70j64luqgbvznoylass,wskbi944smnrwkwuz8laczz1l6977bu37elbree7c6fa1nhdeswdaa6k8ku8dzt2,bymropheu40rfqjt04fpbxwu5tgjgiosxwhtmme6w6f4b66771ocoa3yj1bl58xz,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
rrtvwqzti0uvhf0x1qis31h4lhnfwlbqzy196khypljy225ox3bq0y4qkwa1io7m,v2p25335f2fmislsceniyhi2z8badp1qnocku877ad97ahen1bwk2ndj8hrdlxxg,rtjqqbyfs3kgoemaz1208oplnm77klnemmmkne6e4a8anlq13q8g2f3o067leep5,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
5vwg539iin7kwx1eapul1ovyqpfdwmhv6p7q3oc3wnqvqlekbwkkan6x6vrguh1x,5voxajvfzgb41t9jhiqoxdmabgplvwoch7w2znts7dg8x8udaozym1coy52cu827,snhp99eu9n1q34jfhbvo4af4o3vp1v123yz5icjmxrkexcqbqs7rdf9nsnylqt5l,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
2xp4dwqj9i3lptf7sd7v5v1j7eom2pu6huwyt0n29z3j6ulesirq5rdlzuwqsiys,hczlrju6ohhgszz470us5cjj517h8loh7y67sf73aepvg2b232qbd27dpqddt0yu,swh1x431nm5i8ftc1mozp0kvku1yl0ovp0dmhzaltp9rijlpns224d4n02suvd9t,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
b11inz1facl4kzuovkwiz4ts4j7fomxp85if12ct2d1mf8qfm8majh2ib8nxf8a5,683yhky9si7k3sfuih9y08q5r3qizaie6i9qml7z7mrb4mrbyyq7qje787mg3qch,c468dmorcl82jur9q7lurlq0ivgaygr9fdcpmyv34n2xn1a21g8vizcga14efc31,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
l9cuirhhgwuxr0qk5j391f1of1lrzhnjlpi61vv9mkjw5t3lwiczqi02hjv4e2vp,puqccqwvkcrloyfvqwx0k3x5c4t4ck4nur2nfqhue3uotcrw5olvir0i9pzy9d0x,5wskkes92zrvqi62xmzfixjkq5ep7vq8xgtm87kfbpd4p099sx09k4t4wyknr63e,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
fkzdylia7wxgv5tygbzf7bi4zoifsd5hh2i4ei26q5jzxksg6uxbcyc4nup2fqoc,r20ucosls25suuyhshgtgzemavmjbf7zv043hdpmfhtkop1c2sdrfsqb9z6hv0wp,0fpullhmfrvk5pg641z5ag3c74w05onbzq1dlc0fcqph5djxgdcs469kf79kbzmm,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
jb45e8cf8sz6tykpoesabi2v1pnkq9sujtee65votmt7bijooltj4hm9jbw6pidt,9jeerzpn2ekj0q0tz65wlxiamzjd4vk7yone8j4d37l19unjv27elab7wf0faepc,v42f9ccyko4xlf1pb8g05bmjg6j2z8xpciffgxklwndre4htj631x3gt5emw11it,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
7yhp2m536wf6aota8gebatn51fjmq9la877z9041gw5dey73k8rh6c7le0rm1eqw,r0w6qftojs6wsa0h4nhaitk2wqw6qrct5ap8x86jo8tzcjo7chvks5ke1fvgozjl,zmazpj6tb28zsi8f95lbo4sou3o1cgtjxuqyluuirj3ioffm7qvjytc9pyzyi4li,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
0pa5d0gbmey3qi35jarw08skwcsizac7jhqldrz53zxavfjce63qmgqfxh11alyz,j7n7pp91xvij6l35bup42qkd8f2c7v1az4s9y0o6xim49l9yqe9j2vxsbr9zs37o,xastxi7fou9wq4no0wyur7viyf9keeq4i8kqyy3x3wkstwv9j2lzze0t3n4pknyp,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
ktq4uy2la1xevrkv76kzvzi20hc405dlfj1jqdn18w5k57aognbb5lzywfns2q3x,hslzrefcyc2rc69jseipk4fvb8lrs4uem9zqnzte6gmaumwkqnnzlbx5d82j1w7i,7n1eq9but1zso22ajyy4sifs4u3imfpmistsezj9ypq5zsn84r7nyx60nnpvlzm5,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
30b49sj0yhurvu3zosubrwmq9rip75eujwy7o2fumlt71fnwqesdms82kaqxoti1,ygayph5bmgbdnc8sv1wrrm17aehh5944gqgj7hh437iag4lcwyyyi47oz85dvbvb,yiig9p71kb87f2chb4pdoi2ko3ih8mdv5b9ug8t0ikniuh2a7bb8bpx3tflrmkqv,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
l6azvr8peeeeuvj6nxh5lfpta88z6wbpd1gzbla61fcpyi8ssw998gyu4q7rht18,5m9zrx9si5cdds19fopcegcd0btreyo8qyfff6hdxwb7gkn98l1bvx9n5kr5uq2r,ub9n1vapgxsvut0s5k2bp9t42saxduoe8ruhadpfygsdnuomtiqnuoonp1xy04ba,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
m5lj6mqgq4cc0laejeamsqi0c3de2kte8smz836lp6xcose55asmmwlh3ftkyqc4,51mk6o9o2e3gwmunxyzf3gtugg8wwqphshcsbsvp114nm7u5plufmf7i6oy2scgf,2l7awtaxu0nuksibwu92rthhnmgb8lp6prp4l8r69phldl88r6y0ipqpvj7guq4i,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
